id,name,latitude,longitude,ratings,no_of_reviews,type,small_photo,category
3000,M.N. VIideo Game Parlour,27.7001974,85.2999057,2.7,3,Video arcade,https://lh3.googleusercontent.com/gps-proxy/AE4_-5HfhZGUhhcfTN2LYOhj9un6gJKUWPtIXUzy5sfpnAj4cGie5g3IrAZMN-gyzu1if1YkLkOM9JpkmvI0LsP9-9PN9GvxSqpniLbMkUez9LdlQEXLLZFLIgheeVDwH53PhEWLQ9KbheojI0w1MkJc6kPyRTMwiEeuoYZOvlHzAC8v3sR7xpgBzU7vANJ7g8L78cGj61s=w1200-h1200-k-no,Fun
3001,The Hive Sports Club and Pub,27.738879,85.3383643,4.1,16,Video arcade,https://lh5.googleusercontent.com/p/AF1QipO1aK8Z0OHX57fKlTkGx3bnTE-5LyOs0lt3I78I=w1200-h1200-k-no,Fun
3002,Gaming Zone,27.690853,85.33742,4.1,20,Video game store,https://lh3.googleusercontent.com/gps-proxy/AE4_-5FNsdVfsF0mRAN81yP-9cejGzr70zjwMZIRuwxly2hfBXBJbAqBnLGT1u2Y-FYihIGfgAk6hnZ0xALDm2nNzoPVNpJaOHf4DSuhRw-hFHqSO94BoITKOpBZijFOlWskhVsjf1BzyxolzpT5-OkryUO5k56oALNWpLjxBLuyJfps4wLxJMSDAU2xEwYtYRMgMV-F2T8=w1200-h1200-k-no,Fun
3003,Mbush Games,27.7037129,85.3320931,4.0,2,Game store,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png,Fun
3004,Jackpot Video Game Parlour,27.7223211,85.3460343,,0,Video game store,https://lh3.googleusercontent.com/gps-proxy/AE4_-5GEkCp9tPpKPIRQ0ob4fqASF6mi0pO2iZq8PhaxxiuljP2L-uc3Zbqwc7qQ6_-8fyJ9K7fwgclqCiwkQTTLtMMIUHXRyUglJgNtK37I4r4D0TLQbtlOfsk3GkD2TPilTc6ZHDhyokYqJ6LqkMYbA0RjDRJJzTcYQRe9ZqMRjqeevE4nt78Z8lNAg8hiiZZn200sB60=w1200-h1200-k-no,Fun
3005,Unreal Game Station,27.6921304,85.3362962,3.5,11,Video game store,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png,Fun
3006,The Colosseum Gaming Zone,27.6984428,85.341441,5.0,2,Video game store,https://lh5.googleusercontent.com/p/AF1QipOiDr9TWidzV0bQwJZJevFQgRbCxaA0D6trZB1x=w1200-h1200-k-no,Fun
3007,Cyber Park Game Zone,27.7041448,85.3203292,4.0,1,Internet service provider,https://lh3.googleusercontent.com/gps-proxy/AE4_-5EZqm05ghKTknd4oNxCzMD5ljl5cJismzTWDfNzf-GSW3SdFw5f-RWKWL_HjC9R0hiqYNPcF-m2q2NOJNc6A8UAesow0tYtWx8VK-MegbLwRsFZZ982rgqEGZbLp86LmHVY_KbSJM9O8ts8y559zJIwLhUEVzNsI298RgsghtUeWM9KrsI0uCNJ9LuyBAKb-UpB5w=w1200-h1200-k-no,Fun
3008,Civil bowling & game zone,27.6992699,85.3125957,2.2,18,Bowling alley,https://lh5.googleusercontent.com/p/AF1QipPOueovY8zTclrsTzg26egZ3U54vLg0SOepZEBX=w1200-h1200-k-no,Fun
3009,Game House,27.7100451,85.3230136,4.0,1,Video arcade,https://lh3.googleusercontent.com/gps-proxy/AE4_-5ENrtDGWuAAup2bLl_2E5Add1sohFFAOFt7-141HK8De1MTsmUqYBM8dPNZDaJXY-2Y3IX0-aogAdvAuZ2Qk25StXksCahPOqHHzkcLfKdjHWHY8yll1Rvk7MiF3vX3Htzwi-zvEXBvXQ9CeXTtwHcPAAMlRhNAQ2-ykpmxOxggPCquyTrdtd0vPF_XQMJqqt8WG7I=w1200-h1200-k-no,Fun
3010,DMB Underground Game Zone,27.6906988,85.3644385,3.0,1,Video arcade,https://lh3.googleusercontent.com/gps-proxy/AE4_-5Gqr02y-NKHsrI2hUxleZrR95t07J0YjE76_Ga0pGF18PilaJxL8OuPBxeSNPQ3yRnrphbOlUmrQ0eHytgUtPouDJcP0YP8CyNqLO4u_w0eFvI9e3k8T_Ab1SLKmwdxDwiRJJ5Q59jGnpb9otpgtpLE_I8Y7gS1QHZP37Z3xmbkoh-QSbeO99OAPZpahIPt1HBad2w=w1200-h1200-k-no,Fun
3011,Pc Games Playstation 2,27.7011294,85.3417377,5.0,1,Video arcade,https://lh3.googleusercontent.com/gps-proxy/AE4_-5H4RSLMJ55WwXuNRaQlrRHZnFAU4IYUTDc0Jxl3Qmy_0JSQzNPaqUlI5M2yDBmouHU63wUhuI2rP1minBJokR7YYhBzmf5X4C0RbV3T3KEQXyYP-7q3hRG53z2TZ5GU2EbG8pbeGLJhYuEp6Oy-Ef4qifyqt7jUXJbwK7oSJcdYWdB7hEmJAQcqFQq6D8_v1Ji3tF0=w1200-h1200-k-no,Fun
3012,Kathmandu Mall Bowling Center,27.7016464,85.3129313,4.1,7,Game store,https://lh3.googleusercontent.com/gps-proxy/AE4_-5F2EwtxlHSRb5-hn6ITFl2FV1tFIQJjFYsxNU3Kvwh5P3JcORNkOOhYzdIYQrVlQ6pO2ddD4S2Br-Pu4PmdOeYbGWDG4CoG6LdvVI9Yv5ks1SCHqlMjj-YHbY7THuIOYr_6FtQOAl1h7kwHGnNaLkbuoMAw7UYGu4X0vJHH6W98Pk1TouSq-VySIN7d99dhkw2gdQQ=w1200-h1200-k-no,Fun
3013,Game Zone & Cyber,27.7181097,85.3706119,,0,Video arcade,https://lh3.googleusercontent.com/gps-proxy/AE4_-5FrEqTiuKXh_63Rm07_sIVjQISdbEo6zWkiAdVLz6ezIt1WmO-q-zqUYsaaeuW3FdiOPaouokt_SKPFvE3sna9olEt6zaOIdcZgEunM62ZVby5OCIjNvT07tB1PL7acSBROterQmLafGJpBQ-VQg7BsoF_iSm5e1B5AbZqrJucl5ti9znyALxklZ98Krj48mMG0pvE=w1200-h1200-k-no,Fun
3014,Cyber T-way,27.731408,85.316447,4.5,2,Video arcade,https://lh3.googleusercontent.com/gps-proxy/AE4_-5EtI4mkiZbglC8dMM97J8FP_GNjQJ5C1AyzAdmeVybPE24jzN4xa4UlpOfbKGCXd3yUtGZpnTM8M9W6d4hO8gDbAx8pubd5H56xoSXTUuycqc3Krr4eqavGmu64DbgaHDYcVxbeo9KImRP4TJ4RTv6mg5kXqJMhKqRAeyXq-jpVG-F88X5BdYZuDAMut1fQLqNZklg=w1200-h1200-k-no,Fun
3015,War Rock Game Zone & Cafe,27.72893,85.359618,5.0,1,Video arcade,https://lh3.googleusercontent.com/gps-proxy/AE4_-5Gwpe6_Em7XjhmpRZICXvD9Gpv-hhUOSIk7uaQiXUf9oqeV_bIa0rrIWA6x6RctzZJSmqFFkxbUGZ-mu41orPGnZjzKN8xUcBKDJcr7ZelkZE-5w_S-TB3-6QhE3l-s7beZ680VsVCeD7VGaJ6MxitvX0tz2NymxpseIccZxBddJhBLCJ2aSV4pRH2OhauEXnLd1w4=w1200-h1200-k-no,Fun
3016,Zero1GamerzStation Boudha,27.7164382,85.3613931,4.9,20,Video game store,https://lh5.googleusercontent.com/p/AF1QipM5Vhz1kpM6lZjN9B2a7OLKde_l49XFDnaWIza4=w1200-h1200-k-no,Fun
3017,Narayanhiti Palace Museum,27.7149634,85.3183285,4.4,4283,Historical place museum,https://lh5.googleusercontent.com/p/AF1QipNbtWcnjdT_bLZ6usoIp3LcB7P2drgnoLFtXjOK=w1200-h1200-k-no,museum
3018,National Museum of Nepal,27.705821,85.288941,4.2,1048,National museum,https://lh5.googleusercontent.com/p/AF1QipNR4oia1TmnRuEnUpd8AoG5jBPKNqwCO6NbqeA=w1200-h1200-k-no,museum
3019,Taragaon next,27.7201836,85.3562045,4.2,584,Art museum,https://lh5.googleusercontent.com/p/AF1QipMdnemYb6priOkl9rd3_mXksyCxTBYnhM8IbfkX=w1200-h1200-k-no,museum
3020,Aviation Museum,27.6936822,85.353357,3.9,1265,Museum,https://lh5.googleusercontent.com/p/AF1QipN10R44VW2pY9sdQkw-SwxSHX9EF5JTBb8GNHuh=w1200-h1200-k-no,museum
3021,Natural History Museum,27.7145253,85.2879494,4.1,145,Museum,https://lh5.googleusercontent.com/p/AF1QipMjEnyiHM_mDipE7ZiJiPZAOH_WubFMdoAAMAut=w1200-h1200-k-no,museum
3022,Museum Of Nepali Art,27.7153357,85.3093688,4.6,290,Art museum,https://lh5.googleusercontent.com/p/AF1QipOCo361htQnNN3II5CobPd-vOwPjbcDhMLvLL8u=w1200-h1200-k-no,museum
3023,Military Museum,27.7065622,85.2896959,4.4,143,Army museum,https://lh5.googleusercontent.com/p/AF1QipPjgaimdRld_JQoJkGkvEvb8mVbHYP6YVhy9lL3=w1200-h1200-k-no,museum
3024,Mahendra Museum,27.7043543,85.3072128,4.3,35,Museum,https://lh5.googleusercontent.com/p/AF1QipNf_5GK60GCyRq65Du5d9KKsXjRLA4-fnLkS7hC=w1200-h1200-k-no,museum
