name,latitude,longitude,ratings,no_of_reviews,category,description,small_photo
Kathmandu Durbar Square,27.7042737,85.307463,4.5,29680,Plaza,Historic royal complex with a courtyard,https://lh5.googleusercontent.com/p/AF1QipPyv3d7WtU3tX7DIwlTT_n2qqNEfDoo2vDE2-KH=w1200-h1200-k-no
Swoyambhu Mahachaitya,27.7148996,85.2903957,4.6,14675,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipPdB4bluHLwD7FFk4g4nY2RdDbFCc0mgxs4Ee09=w1200-h1200-k-no
Garden of Dreams,27.7141261,85.3145041,4.2,10669,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipPBQjQmlecutMBTHp79DveB63fizSCwpKQ9P0rd=w1200-h1200-k-no
Patan Darbar Square,27.6726981,85.3253211,4.6,25690,Tourist attraction,Collection of Hindu & Buddhist sculpture,https://lh5.googleusercontent.com/p/AF1QipNcHvhs0kjQCizhzL_DZuni04eQOrYPqGEzP2mS=w1200-h1200-k-no
Hanuman Dhoka,27.704272,85.307417,4.5,950,Tourist attraction,·,https://lh5.googleusercontent.com/p/AF1QipMBqjTVXVqcMCap8PWWqV0WvD_RE7-eOGvHvT4b=w1200-h1200-k-no
Buddha Stupa,27.7214694,85.362035,4.7,13129,Tourist attraction,"Huge, dome-topped Buddhist temple",https://lh5.googleusercontent.com/p/AF1QipNlESw14fp4CMcfzEFMHdY-dyg8vrm_PumhDcHq=w1200-h1200-k-no
Kathmandu Valley,27.6666667,85.35,4.4,508,Ravine,Famed area with 130+ historic monuments,https://lh5.googleusercontent.com/p/AF1QipPYrpjpKAK_HVERTzbSe2DHPIEHPThnu570aYWx=w1200-h1200-k-no
Narayanhiti Palace Museum,27.7149634,85.3183285,4.4,4282,Historical place museum,·,https://lh5.googleusercontent.com/p/AF1QipMVuoHCIQaVTgzVSMBPiAuAyQ2qyo1COMTQnEZk=w1200-h1200-k-no
Kopan Monastery,27.7426594,85.3649135,4.4,1108,Research institute,·,https://lh5.googleusercontent.com/p/AF1QipPOhWMv2kqjZ_JjL5nS_9G6x8aEltlMyNn64nUL=w1200-h1200-k-no
Kasthamandap,27.7039105,85.3058891,4.6,754,Tourist attraction,Site of an important 7th-c. temple,https://lh5.googleusercontent.com/p/AF1QipN1JhyJCXK-eJwkAGW9Mfzb1f-m9Aa4jhtX25p5=w1200-h1200-k-no
